DS001,1,What is recurrence for worst case of QuickSort and what is the time complexity in Worst case?,Recurrence is T(n) = T(n-2) + O(n) and time complexity is O(n^2),Recurrence is T(n) = T(n-1) + O(n) and time complexity is O(n^2),Recurrence is T(n) = 2T(n/2) + O(n) and time complexity is O(nLogn),Recurrence is T(n) = T(n/10) + T(9n/10) + O(n) and time complexity is O(nLogn),Recurrence is T(n) = T(n-2) + O(n) and time complexity is O(n^2),A
DS001,2,Suppose we have a O(n) time algorithm that finds median of an unsorted array. Now consider a QuickSort implementation where we first find median using the above algorithm then use median as pivot. What will be the worst case time complexity of this modified QuickSort.,O(n^2 Logn),O(n Logn Logn),O(nLogn),O(nLogn),O(nLogn),A
DS001,3,Given an unsorted array. The array has this property that every element in array is at most k distance from its position in sorted array where k is a positive integer smaller than size of array. Which sorting algorithm can be easily modified for sorting this array and what is the obtainable time complexity?,Insertion Sort with time complexity O(kn),Heap Sort with time complexity O(nLogk),Quick Sort with time complexity O(kLogk),Merge Sort with time complexity O(kLogk),Heap Sort with time complexity O(nLogk),A
DS001,4,Which of the following is not O(n^2)?,(15^10) * n + 12099,n^1.98,n^3 / (sqrt(n)),(2^20) * n,n^3 / (sqrt(n)),A
DS001,5,What is the time complexity of Floyd–Warshall algorithm to calculate all pair shortest path in a graph with n vertices?,O(n^2logn,Theta(n^2logn),Theta(n^4),Theta(n^3),Theta(n^3),A
DS001,6,Which of the following sorting algorithms has the lowest worst-case complexity?,Merge Sort,Bubble Sort,Quick Sort,Selection Sort,Merge Sort,A
DS001,7,The minimum number of comparisons required to find the minimum and the maximum of 100 numbers is ______________.,148,147,145,150,148,A
DS001,8,Floyd-Warshall algorithm utilizes __________ to solve the all-pairs shortest paths problem on a directed graph in __________ time.,Greedy algorithm ? (V3),Greedy algorithm ? (V2lgn),Dynamic programming ? (V3),Dynamic programming ? (V2 lgn),Dynamic programming ? (V3),A
DS001,9,To determine the efficiency of an algorithm the time factor is measured by:,Counting micro seconds,Counting number of key operations,Counting number of statements,Counting kilobytes of algorithm,Counting number of statements,A
DS001,10,Let T(n) be defined by T(1) = 10 and T(n + 1) = 2n + T(n) and for all integers n ? 1 . Which of the following represents the order of growth of T(n) as a function of,O(n),O(n log n),O(n2),O(n3),O(n log n),A
DS001,11,An all-pairs shortest-paths problem is efficiently solved using:,Dijkstra' algorithm,Bellman-Ford algorithm,Kruskal algorithm,Floyd-Warshall algorithm,Floyd-Warshall algorithm,B
DS001,12,The travelling salesman problem can be solved in:,Polynomial time using dynamic programming algorithm,Polynomial time using branch-and-bound algorithm,Exponential time using dynamic programming algorithm or branch-and-bound algorithm,Polynomial time using backtracking algorithm,Exponential time using dynamic programming algorithm or branch-and-bound algorithm,B
DS001,13,Which of the following is asymptotically smaller?,lg(lg*n),lg*(lgn),lg(n!),lg*(n!),lg(lg*n),B
DS001,14,Which design matric is used to measure the compactness of the program in terms of lines of code?,Consistency,Conciseness,Efficiency,Accuracy,Conciseness,B
DS001,15,Which of the following algorithm design technique is used in finding all pairs of shortest distances in a graph?,Dynamic programming,Backtracking,Greedy,Divide and Conquer,Dynamic programming,B
DS001,16,An unordered list contains n distinct elements. The number of comparisons to find an element in this list that is neither maximum nor minimum is,?(nlogn),?(n),?(logn),?(1),?(1),C
DS001,17,Let T(n) be a function defined by the recurrence T(n) = 2T(n/2) + ?n for n ? 2 and T(1) = 1 Which of the following statements is TRUE?  ,T(n) = ?(log n),T(n) = ?(?n),T(n) = ?(n),T(n) = ?(n log n),T(n) = ?(n),C
DS001,18,The worst case running times of Insertion sort Merge sort and Quick sort respectively are:,?(n log n) ?(n log n) and ?(n2),?(n2) ?(n2) and ?(n Log n),?(n2) ?(n log n) and ?(n log n),?(n2) ?(n log n) and ?(n2),?(n2) ?(n log n) and ?(n2),C
DS001,19,A problem in NP is NP-complete if  ,It can be reduced to the 3-SAT problem in polynomial time,The 3-SAT problem can be reduced to it in polynomial time,It can be reduced to any other problem in NP in polynomial time,some problem in NP can be reduced to it in polynomial time,The 3-SAT problem can be reduced to it in polynomial time,C
DS001,20,What is the size of the smallest MIS(Maximal Independent Set) of a chain of nine nodes?,5,4,3,2,3,C
